tweet_id,favorites,retweets,date_time
859074603037188101,33659,13644,2017-05-01 15:58:40
858860390427611136,0,8160,2017-05-01 01:47:28
858843525470990336,15463,3494,2017-05-01 00:40:27
858471635011153920,21394,4845,2017-04-30 00:02:42
858107933456039936,15659,2911,2017-04-28 23:57:28
857989990357356544,16054,2599,2017-04-28 16:08:49
857746408056729600,34143,10692,2017-04-28 00:00:54
857393404942143489,5892,1656,2017-04-27 00:38:11
857263160327368704,19964,4540,2017-04-26 16:00:39
857214891891077121,226,18,2017-04-26 12:48:51
857062103051644929,0,171,2017-04-26 02:41:43
857029823797047296,18901,4040,2017-04-26 00:33:27
856543823941562368,16247,2908,2017-04-24 16:22:16
856526610513747968,11842,1901,2017-04-24 15:13:52
856330835276025856,0,682,2017-04-24 02:15:55
856288084350160898,518,17,2017-04-23 23:26:03
856282028240666624,27710,6392,2017-04-23 23:01:59
855862651834028034,344,26,2017-04-22 19:15:32
855860136149123072,5003,1039,2017-04-22 19:05:32
855857698524602368,11880,2139,2017-04-22 18:55:51
855851453814013952,45611,17989,2017-04-22 18:31:02
855818117272018944,26668,5506,2017-04-22 16:18:34
855459453768019968,29959,8325,2017-04-21 16:33:22
855245323840757760,0,6064,2017-04-21 02:22:29
855138241867124737,0,46,2017-04-20 19:16:59
854732716440526848,22953,6205,2017-04-19 16:25:34
854482394044301312,29444,6991,2017-04-18 23:50:52
854365224396361728,18995,4764,2017-04-18 16:05:17
854120357044912130,32177,7620,2017-04-17 23:52:16
854010172552949760,16299,3211,2017-04-17 16:34:26
853760880890318849,28786,5888,2017-04-17 00:03:50
853639147608842240,35081,10356,2017-04-16 16:00:07
853299958564483072,15641,3632,2017-04-15 17:32:18
852936405516943360,0,2058,2017-04-14 17:27:40
852912242202992640,9157,1884,2017-04-14 15:51:39
852672615818899456,15091,2205,2017-04-13 23:59:28
852553447878664193,16517,3596,2017-04-13 16:05:56
852311364735569921,33500,10139,2017-04-13 00:03:59
852226086759018497,20239,6973,2017-04-12 18:25:07
852189679701164033,11598,1624,2017-04-12 16:00:27
851861385021730816,0,22,2017-04-11 18:15:55
851591660324737024,16439,3565,2017-04-11 00:24:08
851464819735769094,24583,7273,2017-04-10 16:00:07
851224888060895234,20963,5892,2017-04-10 00:06:42
850753642995093505,31400,9523,2017-04-08 16:54:09
850380195714523136,13274,2695,2017-04-07 16:10:12
850333567704068097,3496,347,2017-04-07 13:04:55
850145622816686080,16587,3936,2017-04-07 00:38:06
850019790995546112,20781,5035,2017-04-06 16:18:05
849776966551130114,30993,7846,2017-04-06 00:13:11
849668094696017920,0,5106,2017-04-05 17:00:34
849412302885593088,16161,3246,2017-04-05 00:04:08
849336543269576704,11606,1955,2017-04-04 19:03:06
849051919805034497,43197,8787,2017-04-04 00:12:06
848690551926992896,25665,4458,2017-04-03 00:16:10
848324959059550208,25228,4753,2017-04-02 00:03:26
848213670039564288,8338,770,2017-04-01 16:41:12
848212111729840128,16646,3166,2017-04-01 16:35:01
847978865427394560,0,3364,2017-04-01 01:08:10
847971574464610304,0,442,2017-04-01 00:39:12
847962785489326080,23981,5272,2017-04-01 00:04:17
847842811428974592,5570,1379,2017-03-31 16:07:33
847617282490613760,7134,439,2017-03-31 01:11:22
847606175596138505,19167,3529,2017-03-31 00:27:14
847251039262605312,20892,4439,2017-03-30 00:56:03
847157206088847362,20360,6068,2017-03-29 18:43:12
847116187444137987,21873,3307,2017-03-29 16:00:12
846874817362120707,20515,4067,2017-03-29 00:01:05
846514051647705089,45637,12043,2017-03-28 00:07:32
846505985330044928,14428,3191,2017-03-27 23:35:28
846153765933735936,32411,9425,2017-03-27 00:15:53
846139713627017216,31641,10303,2017-03-26 23:20:02
846042936437604353,16364,3000,2017-03-26 16:55:29
845812042753855489,29972,9081,2017-03-26 01:38:00
845677943972139009,25756,4963,2017-03-25 16:45:08
845397057150107648,7830,1876,2017-03-24 22:08:59
845306882940190720,23911,5609,2017-03-24 16:10:40
845098359547420673,0,7962,2017-03-24 02:22:04
844979544864018432,13952,2672,2017-03-23 18:29:57
844973813909606400,15493,3343,2017-03-23 18:07:10
844580511645339650,16906,3268,2017-03-22 16:04:20
844223788422217728,13983,2293,2017-03-21 16:26:50
843981021012017153,15532,3057,2017-03-21 00:22:10
843856843873095681,22003,4826,2017-03-20 16:08:44
843604394117681152,17328,2875,2017-03-19 23:25:35
843235543001513987,22107,6305,2017-03-18 22:59:54
842846295480000512,15647,3771,2017-03-17 21:13:10
842765311967449089,6942,1336,2017-03-17 15:51:22
842535590457499648,18591,3657,2017-03-17 00:38:32
842163532590374912,25148,6064,2017-03-16 00:00:07
842115215311396866,14389,3176,2017-03-15 20:48:07
841833993020538882,0,15990,2017-03-15 02:10:39
841680585030541313,26389,8107,2017-03-14 16:01:03
841439858740625411,12998,3853,2017-03-14 00:04:30
841320156043304961,20350,5707,2017-03-13 16:08:50
841314665196081154,16284,4899,2017-03-13 15:47:01
841077006473256960,23537,5549,2017-03-13 00:02:39
840761248237133825,0,1841,2017-03-12 03:07:56
840728873075638272,0,16914,2017-03-12 00:59:17
840698636975636481,181,2,2017-03-11 22:59:09
840696689258311684,12652,1031,2017-03-11 22:51:24
840632337062862849,9243,1841,2017-03-11 18:35:42
840370681858686976,16951,4761,2017-03-11 01:15:58
840268004936019968,19849,6007,2017-03-10 18:27:58
839990271299457024,13821,2404,2017-03-10 00:04:21
839549326359670784,28323,8160,2017-03-08 18:52:12
839290600511926273,0,148,2017-03-08 01:44:07
839239871831150596,28057,6865,2017-03-07 22:22:32
838952994649550848,20237,4176,2017-03-07 03:22:35
838921590096166913,11515,2169,2017-03-07 01:17:48
838916489579200512,0,36,2017-03-07 00:57:32
838831947270979586,0,11605,2017-03-06 19:21:35
838561493054533637,11277,1390,2017-03-06 01:26:54
838476387338051585,23291,5048,2017-03-05 19:48:43
838201503651401729,0,10587,2017-03-05 01:36:26
838150277551247360,1732,349,2017-03-04 22:12:52
838085839343206401,146,1,2017-03-04 17:56:49
838083903487373313,18186,3319,2017-03-04 17:49:08
837820167694528512,35293,8262,2017-03-04 00:21:08
837482249356513284,3960,462,2017-03-03 01:58:22
837471256429613056,13206,2394,2017-03-03 01:14:41
837366284874571778,21864,5575,2017-03-02 18:17:34
837110210464448512,16567,2504,2017-03-02 01:20:01
836989968035819520,13131,2415,2017-03-01 17:22:13
836753516572119041,19919,4857,2017-03-01 01:42:39
836677758902222849,13023,2333,2017-02-28 20:41:37
836648853927522308,0,574,2017-02-28 18:46:45
836397794269200385,0,29172,2017-02-28 02:09:08
836380477523124226,15249,3133,2017-02-28 01:00:19
836260088725786625,22000,4509,2017-02-27 17:01:56
836001077879255040,19742,4507,2017-02-26 23:52:43
835685285446955009,0,8575,2017-02-26 02:57:52
835574547218894849,18412,3811,2017-02-25 19:37:50
835536468978302976,0,1797,2017-02-25 17:06:32
835309094223372289,0,22151,2017-02-25 02:03:02
835297930240217089,17006,3164,2017-02-25 01:18:40
835264098648616962,7990,1797,2017-02-24 23:04:14
835246439529840640,2170,76,2017-02-24 21:54:03
835172783151792128,27049,6056,2017-02-24 17:01:22
835152434251116546,23246,3185,2017-02-24 15:40:31
834931633769889797,11201,1741,2017-02-24 01:03:08
834786237630337024,21967,5812,2017-02-23 15:25:23
834574053763584002,14161,2674,2017-02-23 01:22:14
834477809192075265,0,11274,2017-02-22 18:59:48
834458053273591808,9962,1774,2017-02-22 17:41:18
834209720923721728,21326,5036,2017-02-22 01:14:30
834167344700198914,16347,3847,2017-02-21 22:26:07
834089966724603904,10404,2248,2017-02-21 17:18:39
834086379323871233,13522,2337,2017-02-21 17:04:24
